s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5303064E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5304332E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0017983E+000, 3.7767786E+001,-1.2835267E+001, 5.1718800E-001,-3.4076102E-001,-7.2207847E-002, 0.0000000E+000, 0.0000000E+000, 2.4528239E+001, 2.5036738E+001, 0.0000000E+000, 1.0842321E-003, 0.0000000E+000
 2.0009611E+000, 9.6995892E+001,-3.1238449E+001,-1.7939211E+000,-5.9177606E-001,-2.0990624E-001, 0.0000000E+000, 0.0000000E+000, 6.3251383E+001, 6.3161840E+001, 0.0000000E+000, 2.1965834E-003, 0.0000000E+000
 3.0005264E+000, 1.1717867E+002,-3.7920087E+001,-7.9636651E+001,-8.1279045E-001,-2.5889196E-001, 0.0000000E+000, 0.0000000E+000,-8.5539449E-001,-1.4497551E+000, 0.0000000E+000, 2.4247858E-003, 0.0000000E+000
 4.0012517E+000, 1.1565436E+002,-3.7367443E+001,-7.5157750E+001,-6.9981501E-001,-2.5550256E-001, 0.0000000E+000, 0.0000000E+000, 2.6608492E+000, 2.1738487E+000, 0.0000000E+000, 2.4580029E-003, 0.0000000E+000
 5.0009079E+000, 1.2119065E+002,-3.9282113E+001,-8.6924860E+001,-7.2082159E-001,-2.6714366E-001, 0.0000000E+000, 0.0000000E+000,-5.4665282E+000,-6.0042925E+000, 0.0000000E+000, 2.4625451E-003, 0.0000000E+000
 6.0008483E+000, 1.1639699E+002,-3.7689273E+001,-6.8810652E+001,-6.5089861E-001,-2.5254350E-001, 0.0000000E+000, 0.0000000E+000, 9.4783950E+000, 8.9936259E+000, 0.0000000E+000, 2.4631602E-003, 0.0000000E+000
 7.0005050E+000, 1.1887091E+002,-3.8468315E+001,-8.5850999E+001,-6.9430660E-001,-2.5716456E-001, 0.0000000E+000, 0.0000000E+000,-5.8749067E+000,-6.3998728E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0009832E+000, 1.1759660E+002,-3.8094104E+001,-7.6061661E+001,-6.4731714E-001,-2.5291916E-001, 0.0000000E+000, 0.0000000E+000, 3.1331555E+000, 2.5405986E+000, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0017595E+000, 1.2166249E+002,-3.9411964E+001,-8.0191230E+001,-8.0183929E-001,-2.6211396E-001, 0.0000000E+000, 0.0000000E+000, 1.6802724E+000, 9.9534282E-001, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0001648E+001, 1.1699090E+002,-3.7902654E+001,-7.4829252E+001,-7.3668082E-001,-2.5496437E-001, 0.0000000E+000, 0.0000000E+000, 3.8215832E+000, 3.2673438E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1000387E+001, 1.1939675E+002,-3.8599664E+001,-8.3073312E+001,-6.8155094E-001,-2.5014272E-001, 0.0000000E+000, 0.0000000E+000,-2.6310196E+000,-3.2079238E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2001726E+001, 1.1810700E+002,-3.8154443E+001,-8.2707323E+001,-6.4978419E-001,-2.4852302E-001, 0.0000000E+000, 0.0000000E+000,-2.9840738E+000,-3.6530694E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3000098E+001, 1.1951403E+002,-3.8673674E+001,-8.5373741E+001,-6.9955924E-001,-2.6165338E-001, 0.0000000E+000, 0.0000000E+000,-4.9806521E+000,-5.4946022E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4001686E+001, 1.2073798E+002,-3.9137606E+001,-7.7522287E+001,-6.6334695E-001,-2.5906604E-001, 0.0000000E+000, 0.0000000E+000, 3.6428894E+000, 3.1556689E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1543552E+002,-3.7439381E+001,-8.4223927E+001,-6.8990594E-001,-2.5546167E-001, 0.0000000E+000, 0.0000000E+000,-6.5913147E+000,-7.1731573E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
